NAME;GS<br> follow link to MSigDB;GS DETAILS;SIZE;ES;NES;NOM p-val;FDR q-val;FWER p-val;RANK AT MAX;LEADING EDGE
AKT_UP_MTOR_DN.V1_UP;AKT_UP_MTOR_DN.V1_UP;Details ...;178;-0.4633336;-16.756.774;0.0017605633;1.0;0.128;9094;tags=46%, list=21%, signal=58%
GSE17721_LPS_VS_POLYIC_16H_BMDC_DN;GSE17721_LPS_VS_POLYIC_16H_BMDC_DN;Details ...;200;-0.43792996;-16.508.806;0.0;1.0;0.153;9648;tags=44%, list=23%, signal=56%
GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP;GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP;Details ...;193;-0.45406336;-1.647.548;0.0;1.0;0.158;14643;tags=58%, list=35%, signal=87%
CYCLIN_D1_UP.V1_UP;CYCLIN_D1_UP.V1_UP;Details ...;187;-0.46310344;-16.436.878;0.010507881;1.0;0.16;8854;tags=45%, list=21%, signal=57%
GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_1DAY_STIMULATED_BCELL_UP;GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_1DAY_STIMULATED_BCELL_UP;Details ...;197;-0.44067654;-1.630.841;0.0050933785;1.0;0.177;9744;tags=44%, list=23%, signal=56%
HALLMARK_HEDGEHOG_SIGNALING;HALLMARK_HEDGEHOG_SIGNALING;Details ...;36;-0.5206753;-16.290.044;0.0088495575;1.0;0.183;12276;tags=64%, list=29%, signal=90%
GSE24210_IL35_TREATED_VS_RESTING_TREG_DN;GSE24210_IL35_TREATED_VS_RESTING_TREG_DN;Details ...;199;-0.42867947;-16.213.249;0.013377926;1.0;0.189;8635;tags=39%, list=20%, signal=49%
GSE32901_NAIVE_VS_TH1_CD4_TCELL_UP;GSE32901_NAIVE_VS_TH1_CD4_TCELL_UP;Details ...;131;-0.45070285;-16.170.923;0.0;1.0;0.196;8025;tags=44%, list=19%, signal=54%
GSE17721_0.5H_VS_8H_LPS_BMDC_UP;GSE17721_0.5H_VS_8H_LPS_BMDC_UP;Details ...;199;-0.43308643;-1.616.567;0.0034305318;1.0;0.197;11918;tags=50%, list=28%, signal=70%
GSE360_CTRL_VS_M_TUBERCULOSIS_DC_UP;GSE360_CTRL_VS_M_TUBERCULOSIS_DC_UP;Details ...;200;-0.43659365;-16.149.265;0.005376344;0.9853665;0.197;9468;tags=44%, list=22%, signal=56%
GSE3565_DUSP1_VS_WT_SPLENOCYTES_UP;GSE3565_DUSP1_VS_WT_SPLENOCYTES_UP;Details ...;163;-0.45874983;-16.102.519;0.0050251256;0.97394276;0.204;11033;tags=49%, list=26%, signal=66%
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_UP;GSE25123_WT_VS_PPARG_KO_MACROPHAGE_UP;Details ...;199;-0.42769483;-16.030.291;0.0052083335;1.0;0.212;11512;tags=47%, list=27%, signal=64%
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN;GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN;Details ...;200;-0.43863165;-16.027.287;0.0017361111;0.937235;0.212;11979;tags=50%, list=28%, signal=69%
GSE3982_EFF_MEMORY_VS_CENT_MEMORY_CD4_TCELL_DN;GSE3982_EFF_MEMORY_VS_CENT_MEMORY_CD4_TCELL_DN;Details ...;197;-0.4201376;-16.024.721;0.0050251256;0.8739752;0.213;8261;tags=37%, list=19%, signal=46%
GSE20500_CTRL_VS_RARA_ANTAGONIST_TREATED_CD4_TCELL_UP;GSE20500_CTRL_VS_RARA_ANTAGONIST_TREATED_CD4_TCELL_UP;Details ...;195;-0.42383805;-1.596.578;0.026132405;0.9039892;0.218;13981;tags=55%, list=33%, signal=82%
GSE2935_UV_INACTIVATED_VS_LIVE_SENDAI_VIRUS_INF_MACROPHAGE_DN;GSE2935_UV_INACTIVATED_VS_LIVE_SENDAI_VIRUS_INF_MACROPHAGE_DN;Details ...;180;-0.43542683;-15.961.577;0.0;0.85303694;0.219;12025;tags=51%, list=28%, signal=70%
GSE6269_E_COLI_VS_STAPH_AUREUS_INF_PBMC_DN;GSE6269_E_COLI_VS_STAPH_AUREUS_INF_PBMC_DN;Details ...;175;-0.44451433;-15.953.507;0.0125;0.81536496;0.22;9973;tags=47%, list=24%, signal=62%
GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP;GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP;Details ...;180;-0.44814372;-15.941.685;0.012750455;0.787211;0.221;8448;tags=42%, list=20%, signal=52%
GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_UP;GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_UP;Details ...;174;-0.42596734;-15.874.498;0.028021015;0.8382912;0.227;15638;tags=58%, list=37%, signal=92%
GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MACROPHAGE_UP;GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MACROPHAGE_UP;Details ...;200;-0.43371564;-15.818.543;0.007067138;0.8746725;0.234;10018;tags=46%, list=24%, signal=60%
GSE9946_MATURE_STIMULATORY_VS_PROSTAGLANDINE2_TREATED_MATURE_DC_DN;GSE9946_MATURE_STIMULATORY_VS_PROSTAGLANDINE2_TREATED_MATURE_DC_DN;;137;-0.41818464;-15.731.783;0.014010508;0.9622014;0.247;7868;tags=38%, list=19%, signal=46%
GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN;GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN;;200;-0.42499232;-15.729.723;0.006956522;0.9218938;0.248;11017;tags=46%, list=26%, signal=61%
GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_UP;GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_UP;;198;-0.40777826;-15.724.487;0.0049261083;0.8897087;0.249;10040;tags=44%, list=24%, signal=57%
GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_DN;GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_DN;;199;-0.44180253;-15.700.035;0.011686143;0.8854496;0.251;9428;tags=44%, list=22%, signal=57%
GSE17974_0H_VS_2H_IN_VITRO_ACT_CD4_TCELL_UP;GSE17974_0H_VS_2H_IN_VITRO_ACT_CD4_TCELL_UP;;199;-0.42611274;-1.568.179;0.0121951215;0.87451375;0.255;13192;tags=50%, list=31%, signal=72%
GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP;GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP;;200;-0.44029245;-1.566.898;0.0017241379;0.85703415;0.255;11617;tags=50%, list=27%, signal=68%
GSE14350_TREG_VS_TEFF_UP;GSE14350_TREG_VS_TEFF_UP;;199;-0.43315452;-15.659.738;0.013745705;0.8369908;0.255;12507;tags=50%, list=30%, signal=71%
GSE6259_BCELL_VS_CD8_TCELL_DN;GSE6259_BCELL_VS_CD8_TCELL_DN;;198;-0.42571157;-15.649.984;0.0016863407;0.8190776;0.257;10981;tags=49%, list=26%, signal=66%
GSE34006_WT_VS_A2AR_KO_TREG_UP;GSE34006_WT_VS_A2AR_KO_TREG_UP;;200;-0.41496342;-1.564.526;0.01598579;0.7964567;0.257;8550;tags=40%, list=20%, signal=50%
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP;GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP;;180;-0.46003053;-15.621.089;0.007005254;0.80059695;0.258;10442;tags=49%, list=25%, signal=65%
GSE22886_CD8_TCELL_VS_BCELL_NAIVE_UP;GSE22886_CD8_TCELL_VS_BCELL_NAIVE_UP;;199;-0.42190102;-15.608.884;0.012216405;0.7892383;0.262;11242;tags=49%, list=27%, signal=67%
