NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_MAC_DN	GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_MAC_DN	Details ...	200	-0.524424	-1.69257	0.0	0.25587392	0.059	14661	tags=63%, list=35%, signal=96%	
CTIP_DN.V1_UP	CTIP_DN.V1_UP	Details ...	135	-0.5143664	-1.6648884	0.0	0.3189609	0.091	9456	tags=44%, list=22%, signal=57%	
GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_DN	GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_DN	Details ...	198	-0.5089395	-1.6602352	0.0	0.24961162	0.096	13265	tags=58%, list=31%, signal=83%	
GSE17186_BLOOD_VS_CORD_BLOOD_CD21LOW_TRANSITIONAL_BCELL_DN	GSE17186_BLOOD_VS_CORD_BLOOD_CD21LOW_TRANSITIONAL_BCELL_DN	Details ...	200	-0.5183289	-1.6479272	0.0	0.27283376	0.108	9798	tags=46%, list=23%, signal=60%	
GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TREG_CD4_TCELL_UP	GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TREG_CD4_TCELL_UP	Details ...	169	-0.5158328	-1.6373472	0.0	0.30301717	0.126	11868	tags=49%, list=28%, signal=68%	
GSE5503_PLN_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_UP	GSE5503_PLN_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_UP	Details ...	200	-0.50087464	-1.6240873	0.0	0.3727187	0.142	9771	tags=45%, list=23%, signal=58%	
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_DN	GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_DN	Details ...	198	-0.5094598	-1.6233417	0.0	0.326373	0.142	12782	tags=55%, list=30%, signal=78%	
GSE27786_BCELL_VS_ERYTHROBLAST_DN	GSE27786_BCELL_VS_ERYTHROBLAST_DN	Details ...	200	-0.50001425	-1.622686	0.0	0.2914768	0.142	11955	tags=51%, list=28%, signal=70%	
GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_UP	GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_UP	Details ...	200	-0.50771964	-1.6217285	0.0035971224	0.26616463	0.144	10706	tags=46%, list=25%, signal=61%	
GSE4142_NAIVE_BCELL_VS_PLASMA_CELL_UP	GSE4142_NAIVE_BCELL_VS_PLASMA_CELL_UP	Details ...	199	-0.50009066	-1.6164293	0.0	0.27994555	0.152	12007	tags=51%, list=28%, signal=70%	
GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	Details ...	199	-0.49406555	-1.6100152	0.0036363637	0.30579078	0.156	9131	tags=39%, list=22%, signal=50%	
GSE1925_3H_VS_24H_IFNG_STIM_MACROPHAGE_DN	GSE1925_3H_VS_24H_IFNG_STIM_MACROPHAGE_DN	Details ...	197	-0.49883133	-1.6082823	0.0	0.29540187	0.161	9990	tags=43%, list=24%, signal=56%	
GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN	GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN	Details ...	200	-0.48579913	-1.6071001	0.0018050541	0.28078505	0.161	12671	tags=52%, list=30%, signal=75%	
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP	GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP	Details ...	199	-0.5076524	-1.6062925	0.0	0.26574838	0.162	14583	tags=61%, list=34%, signal=93%	
GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_UP	GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_UP	Details ...	195	-0.496013	-1.6046455	0.0018248175	0.25966924	0.164	12490	tags=49%, list=29%, signal=69%	
GSE22432_MULTIPOTENT_PROGENITOR_VS_PDC_DN	GSE22432_MULTIPOTENT_PROGENITOR_VS_PDC_DN	Details ...	200	-0.50670165	-1.6030561	0.0018181818	0.25441718	0.166	12609	tags=55%, list=30%, signal=77%	
GSE14413_UNSTIM_VS_IFNB_STIM_NIH3T3_CELLS_UP	GSE14413_UNSTIM_VS_IFNB_STIM_NIH3T3_CELLS_UP	Details ...	141	-0.5047229	-1.6008787	0.0018018018	0.2546282	0.17	12816	tags=55%, list=30%, signal=79%	
GSE14908_RESTING_VS_HDM_STIM_CD4_TCELL_NONATOPIC_PATIENT_DN	GSE14908_RESTING_VS_HDM_STIM_CD4_TCELL_NONATOPIC_PATIENT_DN	Details ...	200	-0.4996076	-1.6004807	0.0	0.24304356	0.17	10024	tags=46%, list=24%, signal=60%	
GSE27786_LIN_NEG_VS_CD4_TCELL_DN	GSE27786_LIN_NEG_VS_CD4_TCELL_DN	Details ...	200	-0.5002663	-1.5999374	0.0018484289	0.23366065	0.172	13533	tags=55%, list=32%, signal=80%	
GSE22589_HEALTHY_VS_SIV_INFECTED_DC_DN	GSE22589_HEALTHY_VS_SIV_INFECTED_DC_DN	Details ...	199	-0.50164765	-1.5989982	0.0018281536	0.22763096	0.177	12390	tags=51%, list=29%, signal=72%	
GSE339_CD4POS_VS_CD8POS_DC_IN_CULTURE_DN	GSE339_CD4POS_VS_CD8POS_DC_IN_CULTURE_DN		200	-0.5051079	-1.5986683	0.0054347827	0.21888228	0.177	11381	tags=51%, list=27%, signal=69%	
GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN	GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN		200	-0.50024056	-1.5985005	0.0	0.21023037	0.177	10013	tags=46%, list=24%, signal=60%	
