NAME;GS<br> follow link to MSigDB;GS DETAILS;SIZE;ES;NES;NOM p-val;FDR q-val;FWER p-val;RANK AT MAX;LEADING EDGE
GSE27786_ERYTHROBLAST_VS_NEUTROPHIL_UP;GSE27786_ERYTHROBLAST_VS_NEUTROPHIL_UP;Details ...;200;-0.49649054;-16.435.682;0.0;1.0;0.136;12560;tags=49%, list=30%, signal=69%
GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP;GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP;Details ...;189;-0.48698968;-1.612.654;0.0;1.0;0.164;12275;tags=52%, list=29%, signal=73%
GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_40H_TSST_ACT_UP;GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_40H_TSST_ACT_UP;Details ...;195;-0.4853884;-16.082.941;0.0;1.0;0.167;11618;tags=49%, list=27%, signal=67%
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP;GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP;Details ...;151;-0.49389818;-1.606.052;0.0018518518;1.0;0.168;9698;tags=45%, list=23%, signal=58%
GSE3982_NKCELL_VS_TH1_UP;GSE3982_NKCELL_VS_TH1_UP;;194;-0.46678662;-15.384.469;0.0018691589;0.8434799;0.25;10898;tags=46%, list=26%, signal=61%
GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP;GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP;Details ...;199;-0.49569502;-16.127.746;0.0018761726;1.0;0.164;11838;tags=48%, list=28%, signal=67%
GSE18281_CORTICAL_VS_MEDULLARY_THYMOCYTE_DN;GSE18281_CORTICAL_VS_MEDULLARY_THYMOCYTE_DN;;197;-0.4413089;-15.187.103;0.003552398;0.68340504;0.271;11623;tags=42%, list=27%, signal=57%
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP;GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP;Details ...;189;-0.47482646;-15.859.333;0.0036363637;1.0;0.192;10852;tags=44%, list=26%, signal=59%
GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_DN;GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_DN;Details ...;195;-0.4734642;-15.681.311;0.0036563072;1.0;0.215;9958;tags=41%, list=23%, signal=53%
GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_DN;GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_DN;;200;-0.47259617;-15.374.873;0.0036764706;0.819655;0.25;12869;tags=52%, list=30%, signal=74%
