NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_DN	GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_DN	Details ,,,	151	0,49699968	17.395.104	0	0,32761937	0,038	13886	tags=59%, list=33%, signal=87%
GSE15624_CTRL_VS_3H_HALOFUGINONE_TREATED_CD4_TCELL_UP	GSE15624_CTRL_VS_3H_HALOFUGINONE_TREATED_CD4_TCELL_UP	Details ,,,	159	0,51010495	17.004.302	0	0,59857327	0,069	13938	tags=57%, list=33%, signal=85%
GSE17721_CPG_VS_GARDIQUIMOD_6H_BMDC_UP	GSE17721_CPG_VS_GARDIQUIMOD_6H_BMDC_UP	Details ,,,	199	0,497162	16.984.035	0	0,41585213	0,07	12398	tags=54%, list=29%, signal=76%
GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_UP	GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_UP	Details ,,,	198	0,5028282	16.945.355	0	0,34768754	0,075	15296	tags=65%, list=36%, signal=101%
GSE34217_MIR17_92_OVEREXPRESS_VS_WT_ACT_CD8_TCELL_DN	GSE34217_MIR17_92_OVEREXPRESS_VS_WT_ACT_CD8_TCELL_DN	Details ,,,	137	0,52186584	16.915.511	0	0,30128938	0,078	10667	tags=49%, list=25%, signal=65%
GSE6269_FLU_VS_E_COLI_INF_PBMC_UP	GSE6269_FLU_VS_E_COLI_INF_PBMC_UP	Details ,,,	164	0,5296779	16.815.891	0,004115226	0,3245766	0,086	9887	tags=53%, list=23%, signal=69%
GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_DN	GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_DN	Details ,,,	200	0,51366633	16.750.772	0,002020202	0,331722	0,094	11293	tags=52%, list=27%, signal=71%
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_DN	GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_DN	Details ,,,	196	0,4811817	1.668.589	0	0,3453839	0,098	12706	tags=51%, list=30%, signal=72%
GSE31082_CD4_VS_CD8_SP_THYMOCYTE_UP	GSE31082_CD4_VS_CD8_SP_THYMOCYTE_UP	Details ,,,	200	0,5071679	1.668.365	0	0,30917165	0,098	11553	tags=52%, list=27%, signal=71%
GSE19401_PAM2CSK4_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP	GSE19401_PAM2CSK4_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP	Details ,,,	200	0,48624355	16.668.695	0	0,28970936	0,102	11782	tags=49%, list=28%, signal=67%
PRC1_BMI_UP,V1_DN	PRC1_BMI_UP,V1_DN	Details ,,,	187	0,507505	16.667.145	0,004149378	0,26483002	0,102	11901	tags=53%, list=28%, signal=74%
