NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
GSE17721_CTRL_VS_LPS_0,5H_BMDC_UP	GSE17721_CTRL_VS_LPS_0,5H_BMDC_UP		200	-0,42946827	-1.394.703	0,04609929	0,1139039	0,382	14744	tags=49%, list=35%, signal=75%
GSE26488_HDAC7_KO_VS_VP16_TRANSGENIC_HDAC7_KO_DOUBLE_POSITIVE_THYMOCYTE_DN	GSE26488_HDAC7_KO_VS_VP16_TRANSGENIC_HDAC7_KO_DOUBLE_POSITIVE_THYMOCYTE_DN		200	-0,43076235	-1.394.288	0,037567083	0,11406659	0,382	13247	tags=47%, list=31%, signal=68%
GSE33425_CD161_HIGH_VS_INT_CD8_TCELL_DN	GSE33425_CD161_HIGH_VS_INT_CD8_TCELL_DN		200	-0,43669143	-13.960.894	0,04710145	0,11412675	0,382	13884	tags=49%, list=33%, signal=73%
NFE2L2,V2	NFE2L2,V2		469	-0,41564292	-13.941.135	0,026269702	0,114143126	0,382	14364	tags=48%, list=34%, signal=72%
GSE15330_LYMPHOID_MULTIPOTENT_VS_PRO_BCELL_DN	GSE15330_LYMPHOID_MULTIPOTENT_VS_PRO_BCELL_DN		200	-0,43379146	-13.966.252	0,043715846	0,11418011	0,382	13289	tags=47%, list=31%, signal=67%
GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_DN	GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_DN		200	-0,43564186	-13.938.491	0,04634581	0,1142181	0,382	11819	tags=41%, list=28%, signal=57%
GSE29949_MICROGLIA_BRAIN_VS_CD8_POS_DC_SPLEEN_DN	GSE29949_MICROGLIA_BRAIN_VS_CD8_POS_DC_SPLEEN_DN		200	-0,42770258	-13.928.336	0,045045044	0,114327215	0,384	13124	tags=44%, list=31%, signal=63%
GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_CD8_TCELL_DN	GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_CD8_TCELL_DN		200	-0,4311187	-13.962.431	0,0335097	0,114340566	0,382	13594	tags=47%, list=32%, signal=68%
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		200	-0,4371187	-13.933.458	0,04496403	0,1143577	0,383	10099	tags=38%, list=24%, signal=49%
GSE32901_NAIVE_VS_TH1_CD4_TCELL_DN	GSE32901_NAIVE_VS_TH1_CD4_TCELL_DN		169	-0,43776652	-13.926.547	0,049723756	0,11441498	0,385	11413	tags=42%, list=27%, signal=57%
GSE3982_CTRL_VS_PMA_STIM_EOSINOPHIL_DN	GSE3982_CTRL_VS_PMA_STIM_EOSINOPHIL_DN		200	-0,42367944	-13.931.549	0,0411449	0,11446241	0,384	11710	tags=42%, list=28%, signal=57%
SNF5_DN,V1_DN	SNF5_DN,V1_DN		157	-0,43689492	-13.975.545	0,049270075	0,114483744	0,381	16568	tags=59%, list=39%, signal=96%
GSE9946_IMMATURE_VS_LISTERIA_INF_MATURE_DC_UP	GSE9946_IMMATURE_VS_LISTERIA_INF_MATURE_DC_UP		140	-0,44478548	-13.982.676	0,046296295	0,11456466	0,381	15565	tags=51%, list=37%, signal=81%
GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_12H_UP	GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_12H_UP		199	-0,43593374	-13.986.634	0,046511628	0,114617646	0,381	11035	tags=39%, list=26%, signal=53%
GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_DN	GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_DN		200	-0,43545288	-1.399.093	0,046875	0,11461974	0,38	11502	tags=42%, list=27%, signal=57%
GSE23568_ID3_KO_VS_WT_CD8_TCELL_UP	GSE23568_ID3_KO_VS_WT_CD8_TCELL_UP		199	-0,42688948	-1.398.429	0,035650622	0,11462059	0,381	14595	tags=48%, list=34%, signal=73%
GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP	GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP		200	-0,43414515	-13.991.748	0,047358833	0,11465551	0,38	15797	tags=54%, list=37%, signal=85%
GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP	GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP		194	-0,44341692	-14.005.507	0,048417132	0,11468864	0,378	13554	tags=47%, list=32%, signal=69%
GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_DN	GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_DN		190	-0,4192957	-13.994.516	0,04903678	0,1147967	0,38	14485	tags=48%, list=34%, signal=72%
GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_DN	GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_DN		196	-0,42578247	-14.007.361	0,03966942	0,114819154	0,378	11670	tags=39%, list=28%, signal=54%
GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_DN	GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_DN		200	-0,44143832	-1.399.691	0,042201836	0,11482926	0,378	13167	tags=44%, list=31%, signal=64%
