"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000224846",7.7701892341445,6.52061100717085,1.18711880875236,17.1243034229099,0.000191207427478821,0.00432085452974095,NA
"ENSG00000108590",4.24026658654943,6.26838991327031,1.55984116376467,17.7772049641952,0.000137952314158717,0.0034016865843712,"MED31"
"ENSG00000164329",21.3414903410229,6.10384258134169,1.41101416104318,18.7927348251316,8.3025114419794e-05,0.00238453290775989,"TENT2"
"ENSG00000286599",6.96755975694889,6.07401619435223,1.38665493770334,10.2537831653983,0.0059349802259268,0.0390621594572757,NA
"ENSG00000184209",7.49570461253794,6.01124901011402,1.07213675753785,19.4959474241402,5.84129052595992e-05,0.00182015525490556,"SNRNP35"
"ENSG00000157326",3.24756509715004,5.99879904263708,1.75415165204834,11.989611082542,0.00249166145186923,0.022767449486324,"DHRS4"
"ENSG00000159915",3.27110711336929,5.96769776591538,1.89941237543123,10.5975204152364,0.00499778628484742,0.0352184992881871,"ZNF233"
"ENSG00000187398",3.73740014080887,5.93819617367277,1.30792457638204,21.6868178608148,1.95329274278919e-05,0.000792947389782667,"LUZP2"
"ENSG00000146285",6.14795145932141,5.92679599766571,0.982044723968147,39.6590932614072,2.44420326354949e-09,5.26957011711737e-07,"SCML4"
"ENSG00000149357",7.61045533689244,5.90085834325316,1.65591687839219,10.4418830172175,0.00540224047539837,0.0368794799077902,"LAMTOR1"
"ENSG00000165837",3.99634726315907,5.86706772952498,1.43876313978606,11.895556559668,0.00261163640287023,0.0235621482672849,"ERICH6B"
"ENSG00000127954",3.84816822717403,5.82790127906839,1.42840374810066,12.5527803904108,0.00188017542522168,0.0191303053150425,"STEAP4"
"ENSG00000287856",3.50401051760343,5.79299771219447,1.59459405907301,11.7248642537,0.00284431752242738,0.0247158179481517,NA
"ENSG00000102385",3.71375843389423,5.76602507808366,1.20977557597264,19.3071583369978,6.41953892425777e-05,0.00196201770110361,"DRP2"
"ENSG00000114529",4.74061920285019,5.75516458535039,1.41262650375059,12.3587447417754,0.00207172772331184,0.0203024226644454,"C3orf52"
"ENSG00000279936",4.2954832333338,5.69309210252709,1.70574345589422,13.9374563490205,0.000940848740638645,0.012385671308333,NA
"ENSG00000183888",2.65906108414349,5.67504682341377,1.90677864774198,11.6286144005087,0.00298454730500203,0.0255090797330748,"SRARP"
"ENSG00000248339",3.19241606282288,5.66662496998086,1.83391925843926,10.9254190511324,0.00424204622648584,0.0317735237076785,"LINC02504"
"ENSG00000273432",4.03265698770493,5.66223145657969,1.22104329088242,15.4443720715808,0.000442891368514396,0.0076305495607761,NA
"ENSG00000018236",3.49194665418996,5.63624946447011,1.44606179830103,12.0695796386652,0.00239399964691792,0.0221589424582241,"CNTN1"
"ENSG00000213839",2.76127407446829,5.62877019905303,1.36044508836665,13.3828548358292,0.00124150935486369,0.0146827577816866,NA
"ENSG00000276663",9.76417811758083,5.58285195526125,1.61009030933643,12.8902183814038,0.00158827113516721,0.0171791713155645,NA
"ENSG00000148773",23.4025712010156,5.5794584049058,1.07841096431417,30.983007269726,1.87122260387225e-07,1.79066050847759e-05,"MKI67"
"ENSG00000123560",3.55494661872303,5.57044624776815,1.46607978767798,11.1801098066973,0.00373482280478036,0.0292085112879735,"PLP1"
"ENSG00000212766",2.87002350766948,5.53487334353053,1.63748820515722,9.8815734211928,0.0071489719874206,0.0432049139662865,"EWSAT1"
"ENSG00000188785",3.55371194130954,5.47451879435966,1.76968471582019,11.3127606847223,0.003495145258487,0.0282622921813742,"ZNF548"
"ENSG00000290592",3.46562235173186,5.44140061334479,1.57363589196731,14.4600005488606,0.000724520664319414,0.0104570046837449,"LOC107985211"
"ENSG00000267047",10.3409822021202,5.43818789048176,1.01565800017563,22.5958246344403,1.23987819846758e-05,0.000547950603278441,NA
"ENSG00000250910",4.68518251751437,5.42061515816718,1.25014209360382,12.0529586566794,0.00241397785881414,0.0223002911172674,"MAP9-AS1"
"ENSG00000139193",3.82333129816851,5.41565155446216,1.06671788345512,19.1775483618244,6.84933306018941e-05,0.00205402743688462,"CD27"
"ENSG00000263424",3.30912797495965,5.40017030321025,1.97163085832633,10.0963364211122,0.00642108475528176,0.0407537037250644,NA
"ENSG00000279301",3.81143936846102,5.39781190202913,1.79417383866323,10.4240263651637,0.00545068940170161,0.0370832830340075,"OR2T11"
"ENSG00000287933",7.05147530176008,5.39764025069343,1.42283563210158,10.8695757568796,0.00436216023125459,0.0322693993643752,NA
"ENSG00000137135",7.63795606669811,5.3811233288249,0.955126846073277,18.1501495710409,0.000114484079818851,0.00296988456817878,"ARHGEF39"
"ENSG00000227198",8.14999972764037,5.32967408759758,1.17923812907603,13.2156282689984,0.00134977936327582,0.0155035132913625,NA
"ENSG00000128513",2.09114163810592,5.32668601175279,1.32740286913437,14.4053035093993,0.000744608668554119,0.0106351716187219,"POT1"
"ENSG00000137070",3.94566997993176,5.32409823469957,1.23104070006351,15.1809885887164,0.000505231259272191,0.00823336007193926,"IL11RA"
"ENSG00000134986",8.58978556596838,5.31876217094144,1.17872693851623,16.5084400676236,0.000260158360422999,0.00532123907972889,"NREP"
"ENSG00000254559",6.5371186677932,5.29862712507036,1.40979061591179,11.3026386570222,0.00351287907474043,0.0282825325863745,NA
"ENSG00000235033",3.45318643567853,5.28982613059089,1.39900831297145,9.63776208497632,0.00807581858312408,0.0467053680198425,"DAAM2-AS1"
"ENSG00000280650",3.58314072883196,5.28552537100793,1.68218401987635,9.72591611099267,0.00772759140497812,0.0454594370483116,"KCNIP4-IT1"
"ENSG00000184203",3.65381238834516,5.27988851476243,0.978279367063615,33.8982054335588,4.35610377031351e-08,5.1479466334505e-06,"PPP1R2"
"ENSG00000205628",2.80803381578876,5.27887396953485,1.56296534338811,13.6056891418962,0.00111061143724946,0.0138068630484904,"LINC01446"
