"genes","value","phenotype","symbol"
"ENSG00000187699",1.15470044348787,"TN","C2orf88"
"ENSG00000139370",1.15470041695188,"TN","SLC15A4"
"ENSG00000263142",1.15470018688692,"TN","LRRC37A17P"
"ENSG00000036565",1.15469934983505,"TN","SLC18A1"
"ENSG00000168003",1.15469933132816,"TN","SLC3A2"
"ENSG00000013441",1.1546991171739,"TN","CLK1"
"ENSG00000079950",1.15469874814045,"TN","STX7"
"ENSG00000143379",1.15469860677254,"TN","SETDB1"
"ENSG00000158258",1.15469784319137,"TN","CLSTN2"
"ENSG00000119778",1.15469530849806,"TN","ATAD2B"
"ENSG00000279301",1.15469514468255,"TN","OR2T11"
"ENSG00000165923",1.1546936573356,"TN","AGBL2"
"ENSG00000285051",1.15469363914816,"TN","SLC7A14-AS1"
"ENSG00000062282",1.15469147848102,"TN","DGAT2"
"ENSG00000151726",1.15468945266423,"TN","ACSL1"
"ENSG00000183307",1.1546893451914,"TN","TMEM121B"
"ENSG00000278540",1.15468427373211,"TN","ACACA"
"ENSG00000280739",1.1546828355685,"TN","EIF1B-AS1"
"ENSG00000166257",1.15467971712302,"TN","SCN3B"
"ENSG00000187866",1.15467755845629,"TN","PABIR1"
"ENSG00000085185",1.15467526599629,"TN","BCORL1"
"ENSG00000151948",1.15467488681145,"TN","GLT1D1"
"ENSG00000128607",1.1546735130514,"TN","KLHDC10"
"ENSG00000145808",1.15467263554545,"TN","ADAMTS19"
"ENSG00000026297",1.15466895994437,"TN","RNASET2"
"ENSG00000197622",1.15466660929837,"TN","CDC42SE1"
"ENSG00000188643",1.15466636693026,"TN","S100A16"
"ENSG00000179583",1.15466533272199,"TN","CIITA"
"ENSG00000185942",1.15466442336891,"TN","NKAIN3"
"ENSG00000143751",1.15466174555191,"TN","SDE2"
"ENSG00000178394",1.15466022585826,"TN","HTR1A"
"ENSG00000165280",1.15465049214116,"TN","VCP"
"ENSG00000152256",1.15464769563486,"TN","PDK1"
"ENSG00000224300",1.15464572468148,"TN","OR51P1P"
"ENSG00000212747",1.15464455232808,"TN","RTL8B"
"ENSG00000103034",1.15464243876239,"TN","NDRG4"
"ENSG00000148053",1.15463906749408,"TN","NTRK2"
"ENSG00000133216",1.15463835217631,"TN","EPHB2"
"ENSG00000165156",1.15463515073267,"TN","ZHX1"
"ENSG00000258057",1.15463239722241,"TN","BCDIN3D-AS1"
"ENSG00000175606",1.15463035845899,"TN","TMEM70"
"ENSG00000121940",1.15462771014093,"TN","CLCC1"
"ENSG00000135506",1.15462568280675,"TN","OS9"
"ENSG00000101638",1.15462541812357,"TN","ST8SIA5"
"ENSG00000106299",1.15462456106202,"TN","WASL"
"ENSG00000236008",1.15462135859287,"TN","LINC01814"
"ENSG00000204175",1.15460448390158,"TN","GPRIN2"
"ENSG00000260228",1.15460335031345,"TN","CDH13-AS2"
"ENSG00000112531",1.15459895906957,"TN","QKI"
"ENSG00000143207",1.15459428213056,"TN","COP1"
"ENSG00000070018",1.15459337407288,"TN","LRP6"
"ENSG00000161714",1.15459101725572,"TN","PLCD3"
"ENSG00000290592",1.1545901896922,"TN","LOC107985211"
"ENSG00000109099",1.15458916953978,"TN","PMP22"
"ENSG00000065029",1.1545878717712,"TN","ZNF76"
"ENSG00000176293",1.15457731603066,"TN","ZNF135"
"ENSG00000128487",1.1545764143726,"TN","SPECC1"
"ENSG00000234284",1.15456058850595,"TN","ZNF879"
"ENSG00000291155",1.15455880044773,"TN","CT75"
"ENSG00000213186",1.15455182333922,"TN","TRIM59"
"ENSG00000107554",1.15454725424947,"TN","DNMBP"
"ENSG00000167548",1.15454162638415,"TN","KMT2D"
"ENSG00000198740",1.15453968553416,"TN","ZNF652"
"ENSG00000215231",1.15453540974558,"TN","LINC01020"
"ENSG00000137166",1.15452125461019,"TN","FOXP4"
"ENSG00000083168",1.15451787567395,"TN","KAT6A"
"ENSG00000132958",1.15451495553513,"TN","TPTE2"
"ENSG00000235142",1.15451481616166,"TN","LINC02532"
"ENSG00000143458",1.15451373058066,"TN","GABPB2"
"ENSG00000162623",1.15451067170028,"TN","TYW3"
"ENSG00000204569",1.15449998962107,"TN","PPP1R10"
"ENSG00000054118",1.15449365894579,"TN","THRAP3"
"ENSG00000036054",1.15449188442942,"TN","TBC1D23"
"ENSG00000147874",1.15449073660977,"TN","HAUS6"
